Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Problem Start Time	Problem End Time	Latency (sec)	Steps Missing Start Times	Hints	Incorrects	Corrects	Avg Corrects	Steps	Avg Assistance Score	Correct First Attempts	Condition	KCs (Default)	Steps without KCs (Default)	KC List (Default)	KCs (Single-KC)	Steps without KCs (Single-KC)	KC List (Single-KC)	KCs (Unique-step)	Steps without KCs (Unique-step)	KC List (Unique-step)
15	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	4xplus1eq9-diagrams-first	1	2021-05-13 12:32:00	2021-05-13 12:33:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC298, KC3, KC305, KC334, KC354, KC463, KC511, KC99
16	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	3xplus2eq8-diagrams-first	1	2021-05-13 12:34:00	2021-05-13 12:34:00	0.000	0	0	2	8	1.000	8	0.250	6	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC136, KC285, KC295, KC331, KC547, KC578, KC592, KC71
17	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	3xplus8eq17-diagrams-first	1	2021-05-13 12:35:00	2021-05-13 12:35:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC111, KC216, KC241, KC394, KC470, KC563, KC573, KC676
18	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	4xplus3eq11-diagrams-first	1	2021-05-13 12:36:00	2021-05-13 12:36:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC283, KC353, KC416, KC49, KC525, KC559, KC670, KC82
19	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	1plus2xeq5-diagrams-first	1	2021-05-13 12:37:00	2021-05-13 12:37:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC118, KC301, KC340, KC352, KC375, KC481, KC551, KC656
20	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	7plus2xeq11-diagrams-first	1	2021-05-13 12:38:00	2021-05-13 12:38:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC170, KC205, KC234, KC282, KC43, KC468, KC56, KC59
21	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	9eq2xplus5-diagrams-first	1	2021-05-13 12:38:00	2021-05-13 12:39:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC114, KC138, KC147, KC181, KC377, KC417, KC437, KC529
22	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	15eq4xplus3-diagrams-first	1	2021-05-13 12:39:00	2021-05-13 12:40:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC150, KC218, KC286, KC318, KC509, KC532, KC6, KC633
23	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	19eq3xplus4-diagrams-first	1	2021-05-13 12:40:00	2021-05-13 12:41:00	60.000	0	0	1	8	1.000	8	0.125	7	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC198, KC223, KC436, KC483, KC492, KC536, KC587, KC73
24	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	15eq4xplus7-diagrams-first	1	2021-05-13 12:41:00	2021-05-13 12:41:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC173, KC19, KC299, KC337, KC366, KC552, KC584, KC632
25	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	7eq5plus2x-diagrams-first	1	2021-05-13 12:42:00	2021-05-13 12:42:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC112, KC116, KC317, KC338, KC491, KC562, KC591, KC637
26	All Data	bigalpaca	Assignment red, ProblemSet Red Level 4!	8eq3plus5x-diagrams-first	1	2021-05-13 12:42:00	2021-05-13 12:43:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC109, KC125, KC260, KC302, KC333, KC574, KC608, KC613
27	All Data	bigalpaca	Assignment red, ProblemSet Red Level 5!	3xeqxplus4-diagrams-first	1	2021-05-13 12:43:00	2021-05-13 12:44:00	60.000	0	0	2	8	1.000	8	0.250	7	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC107, KC149, KC206, KC274, KC279, KC397, KC515, KC671
28	All Data	bigalpaca	Assignment red, ProblemSet Red Level 5!	7xeq2xplus5-diagrams-first	1	2021-05-14 12:19:00	2021-05-14 12:22:00	180.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC12, KC275, KC373, KC413, KC458, KC508, KC518, KC58
29	All Data	bigalpaca	Assignment red, ProblemSet Red Level 5!	6xeq7plus5x-diagrams-first	1	2021-05-14 12:22:00	2021-05-14 12:22:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-var, combine-like-var, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	5	0	KC127, KC158, KC250, KC349, KC652
30	All Data	bigalpaca	Assignment red, ProblemSet Red Level 5!	7xeq20plus2x-diagrams-first	1	2021-05-14 12:22:00	2021-05-14 12:23:00	60.000	0	0	1	8	1.000	8	0.125	7	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC143, KC17, KC270, KC273, KC28, KC407, KC469, KC471
31	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	5xeq2xplus15-diagrams-first	1	2021-05-14 12:24:00	2021-05-14 12:24:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC113, KC115, KC276, KC499, KC595, KC60, KC607, KC70
32	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	9xeq5xplus8-diagrams-first	1	2021-05-14 12:24:00	2021-05-14 12:25:00	60.000	0	0	1	8	1.000	8	0.125	7	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC133, KC34, KC418, KC489, KC490, KC596, KC644, KC659
33	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	4xeq2xplus6-diagrams-first	1	2021-05-14 12:25:00	2021-05-14 12:26:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC195, KC219, KC230, KC253, KC289, KC304, KC564, KC89
34	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	6xeq4xplus10-diagrams-first	1	2021-05-14 12:26:00	2021-05-14 12:26:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC360, KC396, KC435, KC54, KC554, KC598, KC617, KC86
35	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	6xeq2xplus8-diagrams-first	1	2021-05-14 12:27:00	2021-05-14 12:27:00	0.000	0	0	1	8	1.000	8	0.125	7	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC100, KC151, KC22, KC228, KC461, KC467, KC593, KC651
36	All Data	bigalpaca	Assignment red, ProblemSet Red Level 6!	8xeq2xplus6-diagrams-first	1	2021-05-14 12:27:00	2021-05-14 12:28:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-var, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	8	0	KC1, KC176, KC312, KC367, KC434, KC472, KC575, KC629
37	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	4xplus1eqxplus10-diagrams-first	1	2021-05-14 12:28:00	2021-05-14 12:31:00	180.000	0	1	332	3	0.600	5	66.600	2	none (none)	5	1	cancel-var, combine-like-var, selectd-given-eq, selectd-subtract-var, subtraction-var	1	0	Single-KC	5	0	KC104, KC120, KC159, KC420, KC685
38	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	4xplus1eqxplus10-diagrams-first	2	2021-05-14 12:33:00	2021-05-14 12:35:00	120.000	0	0	8	8	1.000	8	1.000	6	none (none)	8	1	cancel-const, cancel-var, combine-like-const, divide, division-simple, selectd-divide, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC246, KC287, KC328, KC38, KC420, KC487, KC582, KC604
39	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	3xplus5eqxplus11-diagrams-first	1	2021-05-14 12:35:00	2021-05-14 12:36:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC210, KC227, KC292, KC496, KC524, KC658, KC66, KC661, KC664, KC67, KC679
40	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	6xplus3eqxplus13-diagrams-first	1	2021-05-14 12:37:00	2021-05-14 12:38:00	60.000	0	0	3	11	1.000	11	0.273	8	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC131, KC154, KC203, KC272, KC386, KC451, KC479, KC539, KC614, KC69, KC9
41	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	8xplus1eq2xplus13-diagrams-first	1	2021-05-14 12:38:00	2021-05-14 12:40:00	120.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC160, KC183, KC204, KC208, KC249, KC450, KC581, KC616, KC620, KC640, KC92
42	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	4xplus3eq2xplus7-diagrams-first	1	2021-05-14 12:40:00	2021-05-14 12:41:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC126, KC13, KC225, KC307, KC330, KC332, KC404, KC428, KC512, KC678, KC85
43	All Data	bigalpaca	Assignment red, ProblemSet Red Level 7!	5xplus2eq2xplus8-diagrams-first	1	2021-05-14 12:41:00	2021-05-14 12:42:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC130, KC24, KC310, KC359, KC365, KC422, KC540, KC543, KC583, KC586, KC667
44	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	8xplus3eq5plus6x-diagrams-first	1	2021-05-14 12:43:00	2021-05-14 12:44:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC148, KC235, KC258, KC344, KC364, KC379, KC439, KC449, KC462, KC485, KC500
45	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	6xplus1eq13plus2x-diagrams-first	1	2021-05-14 12:44:00	2021-05-14 12:45:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC187, KC20, KC32, KC444, KC48, KC51, KC513, KC631, KC636, KC641, KC79
46	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	1plus9xeq8plus2x-diagrams-first	1	2021-05-14 12:45:00	2021-05-14 12:46:00	60.000	0	0	1	11	1.000	11	0.091	10	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC251, KC256, KC291, KC303, KC324, KC381, KC425, KC588, KC611, KC612, KC672
47	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	3plus6xeq9plus4x-diagrams-first	1	2021-05-14 12:46:00	2021-05-14 12:47:00	60.000	0	0	0	11	1.000	11	0.000	11	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC141, KC152, KC184, KC196, KC215, KC269, KC327, KC405, KC475, KC488, KC507
48	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	2plus7xeq11plus4x-diagrams-first	1	2021-05-14 12:47:00	2021-05-14 12:48:00	60.000	0	0	2	11	1.000	11	0.182	10	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC211, KC26, KC262, KC441, KC47, KC523, KC589, KC599, KC600, KC625, KC98
49	All Data	bigalpaca	Assignment red, ProblemSet Red Level 8!	4plus5xeq8plus3x-diagrams-first	1	2021-05-14 12:49:00	2021-05-14 12:50:00	60.000	0	0	3	11	1.000	11	0.273	9	none (none)	12	1	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	11	0	KC137, KC185, KC240, KC329, KC387, KC46, KC502, KC549, KC55, KC648, KC83
50	All Data	bigalpaca	Assignment red, ProblemSet Red Bonus Level!	3xplus5eqxplus11-diagrams-first	1	2021-05-17 12:29:00	2021-05-17 12:30:00	60.000	0	0	2	10	1.000	10	0.200	9	none (none)	12	0	cancel-const, cancel-var, combine-like-const, combine-like-var, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, selectd-subtract-var, subtraction-const, subtraction-var	1	0	Single-KC	10	0	KC117, KC132, KC140, KC259, KC378, KC419, KC447, KC53, KC662, KC8
51	All Data	bigalpaca	Assignment red, ProblemSet Red Bonus Level!	3xplus5eqxplus11-diagrams-first	2	2021-05-17 12:31:00	2021-05-17 12:33:00	120.000	0	0	0	1	1.000	1	0.000	1	none (none)	0	1	.	1	0	Single-KC	1	0	KC455
52	All Data	bigant	Assignment red, ProblemSet Red Level 1!	xplus2eq6-diagrams-first	1	2021-05-12 13:07:00	2021-05-13 12:36:00	84540.000	0	27	35	5	0.833	6	10.333	2	none (none)	5	2	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	6	0	KC15, KC25, KC284, KC319, KC504, KC538
53	All Data	bigant	Assignment red, ProblemSet Red Level 1!	xplus3eq5-diagrams-first	1	2021-05-13 12:38:00	2021-05-13 12:38:00	0.000	0	0	3	5	1.000	5	0.600	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC308, KC398, KC520, KC542, KC62
54	All Data	bigant	Assignment red, ProblemSet Red Level 1!	xplus3eq8-diagrams-first	1	2021-05-13 12:39:00	2021-05-13 12:39:00	0.000	0	0	1	5	1.000	5	0.200	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC122, KC494, KC550, KC566, KC90
55	All Data	bigant	Assignment red, ProblemSet Red Level 1!	xplus6eq8-diagrams-first	1	2021-05-13 12:40:00	2021-05-13 12:40:00	0.000	0	0	2	5	1.000	5	0.400	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC16, KC248, KC5, KC537, KC615
56	All Data	bigant	Assignment red, ProblemSet Red Level 1!	1plusxeq7-diagrams-first	1	2021-05-13 12:40:00	2021-05-13 12:41:00	60.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC156, KC293, KC357, KC382, KC414
57	All Data	bigant	Assignment red, ProblemSet Red Level 1!	2plusxeq9-diagrams-first	1	2021-05-13 12:41:00	2021-05-13 12:41:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC167, KC214, KC374, KC544, KC619
58	All Data	bigant	Assignment red, ProblemSet Red Level 1!	5plusxeq7-diagrams-first	1	2021-05-13 12:41:00	2021-05-13 12:42:00	60.000	0	0	1	5	1.000	5	0.200	4	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC172, KC192, KC313, KC371, KC40
59	All Data	bigant	Assignment red, ProblemSet Red Level 1!	4plusxeq9-diagrams-first	1	2021-05-13 12:42:00	2021-05-13 12:42:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC163, KC254, KC506, KC556, KC61
60	All Data	bigant	Assignment red, ProblemSet Red Level 2!	8eqxplus3-diagrams-first	1	2021-05-13 12:43:00	2021-05-13 12:44:00	60.000	0	0	2	5	1.000	5	0.400	3	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC257, KC306, KC322, KC495, KC57
61	All Data	bigant	Assignment red, ProblemSet Red Level 2!	3eqxplus1-diagrams-first	1	2021-05-13 12:44:00	2021-05-13 12:44:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC164, KC526, KC548, KC605, KC65
62	All Data	bigant	Assignment red, ProblemSet Red Level 2!	9eq4plusx-diagrams-first	1	2021-05-13 12:44:00	2021-05-13 12:44:00	0.000	0	0	1	5	1.000	5	0.200	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC277, KC390, KC528, KC557, KC669
63	All Data	bigant	Assignment red, ProblemSet Red Level 2!	10eq5plusx-diagrams-first	1	2021-05-14 12:30:00	2021-05-14 12:30:00	0.000	0	1	0	5	1.000	5	0.200	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC180, KC224, KC401, KC627, KC95
64	All Data	bigant	Assignment red, ProblemSet Red Level 3!	2xplus3eq7-diagrams-first	1	2021-05-14 12:31:00	2021-05-14 12:32:00	60.000	0	2	4	8	0.889	9	0.667	7	none (none)	8	2	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	9	0	KC323, KC36, KC406, KC41, KC443, KC530, KC560, KC580, KC84
65	All Data	bigant	Assignment red, ProblemSet Red Level 3!	3xplus1eq10-diagrams-first	1	2021-05-14 12:33:00	2021-05-14 12:33:00	0.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC102, KC146, KC326, KC345, KC408, KC474, KC594, KC668
